PBA,SQFT,BLDSHP,GLSSPC,NFLOOR,FLCEILHT,YRCONC,FINALWT,num_source
2,210000,6,3,994,12,2,2.1702497437,3
2,28000,11,3,5,8,6,312.76662617,3
8,2100,2,3,1,9,6,1218.0307442,1
5,240000,2,2,1,25,9,69.59528227,3
5,295000,1,1,1,30,4,199.58096703,2
14,94000,9,2,2,8,7,99.041462649,2
14,41000,2,3,2,8,8,324.58862567,1
5,122000,1,3,2,20,4,15.060334045,3
25,96000,1,1,1,12,8,245.00725957,2
14,220000,7,3,3,10,3,44.636329991,2
25,7500,1,2,1,20,5,14.904155848,2
7,350000,9,4,5,12,5,17.759531995,3
2,30500,2,5,3,10,7,621.37004276,2
14,8000,2,1,1,24,8,4468.9635799,1
5,3000,1,1,2,16,6,3075.2270301,2
25,8500,2,3,1,20,8,2934.4321011,1
14,51000,6,4,1,11,3,431.11072249,2
5,2100000,2,2,4,12,9,70.082562393,4
2,184000,3,3,3,12,2,7.5899593736,3
2,1500000,1,3,995,12,2,58.257194411,5
2,240000,2,6,4,10,8,15.060334045,3
2,210000,6,3,994,12,2,15.060334045,2
2,22000,2,3,3,12,6,1195.6789229,2
5,116000,2,2,1,30,8,15.060334045,2
2,230000,1,5,995,11,8,14.904155848,2
2,182000,2,3,994,9,6,14.904155848,2
1,2800,2,3,1,8,5,2990.6291884,1
2,420000,11,5,994,9,6,15.060334045,3
2,3250,2,1,1,10,9,1218.0307442,2
8,1000000,5,1,3,9,4,7.5899593736,3
2,190000,1,4,5,18,8,59.788580178,2
25,158000,2,1,1,17,8,161.63224404,2
12,62000,7,3,2,50,4,14.904155848,1
26,9000,2,5,1,8,2,3356.4844249,2
26,5400,2,1,1,16,7,1214.3839718,2
25,4500,11,3,1,9,5,2990.6291884,1
23,26500,2,3,2,20,8,2009.7438382,3
14,50000,8,3,1,8,3,330.80479789,2
17,100001,11,3,3,8,7,9.0128284709,3
5,15000,3,1,1,9,6,3420.7642043,2
13,20750,2,3,2,22,3,502.89565158,2
8,220000,9,5,4,9,8,8.7552429244,3
2,360000,1,3,994,12,2,8.7356539388,2
14,500001,6,4,4,12,2,8.8371836224,5
12,11250,2,3,2,20,8,2990.6291884,4
5,62000,2,3,2,24,7,215.07137874,1
1,300000,10,3,6,10,8,54.90111167,1
2,260000,2,2,7,10,5,51.342332712,3
2,80000,2,1,1,15,7,245.00725957,1
2,124000,1,3,994,15,2,137.69326076,4
5,260000,2,1,1,30,8,31.346810202,2
14,220000,11,3,2,10,8,46.677703188,3
12,50000,2,2,1,18,6,611.79913496,2
16,230000,2,4,6,10,8,9.0110473604,4
26,25000,2,1,1,10,4,589.52798075,2
6,110000,2,3,1,20,6,24.952482488,3
25,41000,2,1,1,17,6,621.34186017,1
25,200001,2,1,1,17,7,84.236221945,2
25,210000,2,1,1,17,8,14.904155848,2
5,63000,2,2,1,16,3,552.00449063,1
15,8400,1,3,2,11,2,1195.1426575,2
23,25000,9,3,3,9,7,10.714531994,2
2,1800000,2,6,995,9,8,15.060334045,4
26,12000,2,1,1,16,4,1489.4134708,2
5,15250,2,3,1,25,5,2990.6291884,2
8,31000,1,2,2,9,8,1218.0307442,2
5,31000,2,2,3,10,7,1632.4888319,2
2,12250,2,3,1,10,7,1413.0885874,2
2,200001,2,4,8,10,8,14.904155848,1
15,8000,2,2,1,12,8,1218.0307442,2
26,3300,2,2,1,9,7,2990.6291884,2
13,100000,2,3,3,12,5,220.82741628,3
23,21000,2,1,1,13,3,2822.8142976,2
14,335000,8,3,9,12,2,5.889132243,4
2,8800,11,2,3,10,2,3075.2270301,2
13,24000,2,1,1,12,4,1531.5454628,2
14,1001,2,3,1,8,8,4468.9635799,1
5,118000,2,2,2,15,5,70.082562393,2
8,42500,2,4,3,12,9,717.23637964,2
17,64000,6,2,2,12,8,8.7010652649,2
2,300000,2,3,3,12,4,70.082562393,6
1,3000,2,3,1,8,7,2990.6291884,2
14,285000,4,2,2,10,4,44.636329991,2
2,43000,6,3,4,12,2,7.8403471155,3
18,85000,4,3,4,10,7,100.07930184,2
14,320000,4,6,6,14,2,50.657743421,2
14,45000,9,3,3,8,4,495.14959435,2
17,176000,7,3,4,8,3,15.060334045,3
14,65000,7,5,1,10,3,100.07930184,3
5,430000,5,2,1,40,9,52.433940649,2
14,19750,8,4,2,10,7,621.37004276,2
13,87000,2,4,4,10,5,489.01861289,2
15,1200,2,1,1,20,4,1265.78596,2
5,25000,2,1,2,12,8,3554.8817819,2
18,255000,5,3,7,9,4,7.4465261027,3
14,52000,8,3,1,9,7,330.80479789,2
5,158000,6,3,3,15,3,8.7552429244,2
2,5000,2,4,2,12,8,3075.2270301,1
2,2500,2,2,1,25,5,2990.6291884,3
4,315000,7,3,4,10,4,3.8531343164,3
25,40000,9,2,1,25,4,591.56364023,2
5,85000,2,3,1,20,7,32.46658517,1
2,102000,4,3,4,9,2,224.75822028,2
2,128000,2,4,6,12,7,14.904155848,2
2,45500,8,4,4,8,6,304.75562544,2
18,210000,10,3,9,10,4,15.285216404,3
26,55000,9,2,1,25,4,14.904155848,2
26,6700,1,3,1,24,8,1531.5454628,2
26,4000,2,2,2,16,3,1420.001473,2
25,100000,2,2,1,18,8,213.57599952,2
2,176000,1,6,7,12,5,141.31275362,2
5,215000,2,1,2,22,4,14.904155848,2
8,94000,2,4,4,10,7,53.612122059,2
17,58000,11,2,1,9,8,245.00725957,3
14,1200,3,1,1,8,8,4468.9635799,1
25,64000,1,1,1,12,8,215.07137874,2
18,340000,2,4,994,8,6,10.620940509,3
15,5500,2,1,1,25,5,1265.78596,2
2,330000,1,5,995,12,6,15.060334045,1
2,126000,2,2,6,9,7,54.004116158,2
5,112000,2,2,2,20,5,247.56921979,2
5,260000,9,1,1,40,7,15.060334045,4
18,142000,5,3,994,12,5,97.515935761,2
25,64000,2,1,1,35,7,125.91888173,3
12,22000,2,2,1,10,8,1413.0885874,2
12,9600,2,1,2,8,8,2577.0565041,2
15,1800,2,2,1,9,2,1265.78596,2
18,3200,1,2,2,9,8,12528.534357,1
5,900000,2,1,1,34,8,69.59528227,1
25,124000,2,1,1,17,7,105.73615769,3
2,5000,2,1,2,8,2,10800.908675,2
12,11250,2,3,1,9,7,2990.6291884,2
14,69000,9,3,2,10,3,97.515935761,2
25,70000,2,1,1,20,7,125.04337482,2
5,500001,2,1,1,35,7,15.060334045,4
13,60000,2,3,3,30,8,431.11072249,3
5,5300,2,1,1,9,5,6534.792576,1
16,1700000,2,3,7,16,4,8.78024426,4
14,310000,7,4,3,9,9,44.123506828,3
2,85000,8,4,4,10,7,304.75562544,3
5,102000,2,3,5,9,2,68.558971354,4
2,2500,9,1,1,8,2,2990.6291884,1
15,5000,2,3,1,12,3,1049.5898534,2
5,800000,2,3,2,12,5,31.346810202,2
2,480000,2,3,995,12,6,14.904155848,3
18,30000,1,3,2,10,6,495.14959435,2
2,800000,4,3,994,10,6,14.904155848,3
25,220000,2,1,1,17,8,15.060334045,3
16,130000,5,3,2,8,9,92.783688369,3
24,800000,10,2,2,16,6,15.084479175,3
14,58000,6,2,1,8,7,97.515935761,3
15,7400,2,4,2,12,9,1218.0307442,2
13,1500,2,2,1,15,9,1472.4490556,1
16,1700000,4,3,994,10,4,3.9134122592,3
14,11250,9,2,1,8,9,677.20753739,3
18,84000,7,3,2,9,5,100.07930184,2
13,66000,9,2,2,18,9,117.32156561,4
1,3600,3,2,1,9,3,8786.3629432,1
2,10250,2,3,2,9,8,8.8371836224,2
5,46000,2,2,1,15,5,611.79913496,2
2,13250,11,3,3,15,9,2934.4321011,2
2,176000,9,4,4,9,6,58.257194411,2
13,144000,11,4,5,25,8,22.052059832,3
2,1200,2,1,1,8,5,6659.9398944,2
14,270000,7,3,5,12,2,50.027283629,3
2,37000,2,4,3,10,5,648.89549911,2
2,20000,2,3,1,10,8,1445.9832912,3
2,370000,1,6,8,12,7,58.257194411,1
2,152000,11,4,4,10,7,340.60140984,2
14,82000,8,3,3,12,2,97.515935761,3
15,2700,2,3,1,9,2,1029.8669494,2
14,260000,9,2,3,12,9,44.636329991,3
4,365000,2,4,994,12,8,5.5157838017,3
8,78000,2,4,2,8,7,51.491065918,2
12,3600,2,3,1,20,2,2934.4321011,2
5,300000,2,2,2,40,9,15.060334045,1
25,176000,2,1,1,17,8,98.462908311,2
13,7000,9,4,1,8,7,1399.5895118,3
15,3300,2,2,1,10,8,1265.78596,2
14,138000,8,3,3,9,9,50.226153232,3
2,28000,2,3,2,8,6,589.52798075,2
23,5200,2,2,2,8,6,1930.8259108,2
14,50001,8,3,2,9,9,99.041462649,2
2,250000,2,3,8,9,7,58.257194411,3
26,5500,2,1,1,16,8,3075.2270301,2
91,15000,2,1,1,30,6,690.17668773,2
14,128000,10,3,1,9,7,99.383456073,3
14,27500,2,2,1,14,6,1426.3929447,2
2,250000,9,4,4,10,9,58.257194411,1
2,4150,2,3,2,8,5,22.219643994,2
6,1800,1,3,1,8,4,2934.4321011,2
12,6100,8,2,1,30,3,2990.6291884,2
5,130000,2,2,2,24,9,49.365860429,1
2,10000,2,3,2,15,8,1745.7634195,2
23,150000,3,4,1,12,5,175.02305016,2
2,6200,8,3,2,9,9,1265.78596,2
2,2400,3,2,3,8,5,1335.7955116,2
5,370000,2,1,1,20,8,32.46658517,2
25,7200,2,3,1,13,8,2990.6291884,2
14,58000,11,3,1,9,7,288.36682423,3
17,53000,7,3,1,8,3,460.2062397,3
5,1950,3,1,1,8,8,6534.792576,1
26,2150,2,4,2,14,8,3075.2270301,1
14,30000,9,5,2,9,8,504.63216678,2
23,13000,2,1,2,11,4,2009.7438382,2
26,1050,2,1,1,12,4,3075.2270301,1
2,17750,9,1,2,10,5,589.52798075,2
2,275000,2,3,994,9,6,81.373771546,2
2,800000,2,5,995,9,6,15.060334045,3
2,13500,9,3,2,9,5,1531.5454628,3
14,35500,3,3,1,30,4,288.36682423,3
14,77000,4,3,2,9,8,100.07930184,2
14,8800,3,2,1,8,8,4468.9635799,2
2,700000,1,4,5,14,5,14.904155848,3
6,2400,2,4,3,12,3,1195.1426575,2
14,118000,9,3,3,10,2,100.07930184,2
5,140000,2,1,1,20,2,32.46658517,2
91,17000,2,3,4,10,3,1421.484512,4
6,120000,2,1,1,9,7,14.674588454,2
2,1500,2,1,1,8,8,3320.2719269,1
5,182000,2,1,1,22,3,69.59528227,1
25,198000,2,1,1,17,7,14.904155848,2
14,51000,6,2,1,10,3,423.00969579,2
17,215000,8,3,4,8,5,11.638167559,3
14,39000,8,3,3,10,8,502.89565158,2
16,425000,5,3,8,8,5,10.067855182,3
2,230000,5,4,994,10,7,15.060334045,2
5,10250,11,4,3,12,4,1265.78596,2
2,196000,2,4,2,10,4,125.04337482,2
8,60000,2,2,994,12,2,127.32795814,2
5,26500,9,1,1,15,8,611.79913496,2
2,1700,2,2,1,8,8,2990.6291884,1
2,8000,2,2,1,14,5,30.863978057,2
2,13000,2,3,1,10,6,1413.0885874,2
6,1900,2,4,1,10,6,2990.6291884,2
13,285000,11,3,4,20,6,14.904155848,3
2,245000,9,4,995,10,6,15.060334045,3
13,32500,2,3,4,9,7,1461.4258156,3
12,50000,2,1,2,20,8,591.56364023,4
5,15000,9,1,1,15,6,1030.3967139,2
2,57000,2,4,1,10,7,117.32156561,2
14,106000,4,4,1,10,3,117.32156561,2
16,400000,1,3,7,10,8,43.444105051,3
17,55000,5,3,1,8,6,290.38586082,2
2,270000,2,6,994,14,7,31.675288268,3
5,400000,2,1,2,27,5,69.59528227,2
12,10000,2,1,1,20,8,2990.6291884,2
7,72000,2,3,3,16,5,290.38586082,3
7,410000,11,4,8,18,8,6.422791322,3
26,65000,2,2,2,9,8,290.38586082,4
14,138000,2,4,1,9,5,8.8371836224,2
5,210000,2,1,1,35,8,173.70122155,1
14,81000,2,3,1,9,5,330.80479789,2
5,75000,2,1,1,16,6,570.74636531,1
14,460000,2,2,3,11,8,17.701115821,3
14,49000,6,3,1,10,4,306.64483446,2
13,8200,2,2,2,12,4,2934.4321011,2
25,31000,1,2,2,12,5,14.904155848,1
7,136000,2,3,5,9,4,50.027283629,4
5,495000,9,2,2,40,7,14.904155848,3
14,5001,2,2,1,10,4,1426.3929447,2
16,430000,2,3,6,8,9,10.067855182,4
2,21750,2,3,1,30,5,15.060334045,2
26,12750,9,2,2,25,7,4375.8441795,3
18,200000,3,2,994,10,5,9.0128284709,2
13,30000,4,3,2,10,3,621.37004276,1
6,2400,2,4,1,10,8,3480.0878406,2
2,200000,1,2,3,13,3,5.9812610783,3
2,5600,2,3,1,10,8,2990.6291884,2
18,280000,6,3,995,17,2,9.0128284709,4
2,66000,2,1,1,14,4,245.00725957,3
14,390000,4,2,3,10,4,10.54696454,3
13,280000,2,1,1,40,9,52.069370345,3
26,5200,2,1,2,10,8,2990.6291884,2
2,280000,6,4,2,9,5,15.060334045,4
14,75000,2,3,3,12,5,306.64483446,2
16,126000,10,3,3,8,4,61.592231738,4
18,64000,3,3,5,10,8,9.0703109642,3
8,100000,1,2,6,10,2,611.79913496,4
2,430000,2,4,995,9,7,14.904155848,3
